family_office_name,city_state,contact_name,contact_title,aum_band,re_signal,source_url,signal_strength,fit_notes
Hunt Midwest,Kansas City MO,Lamar Hunt family (stewards),Family office / developer,Est. 1960s,Direct developer: industrial self-storage multifamily build-to-rent senior living in multiple markets,https://huntmidwest.com/about-hunt-midwest-2/,strong,Best-fit veritas sponsor: already builds MO multifamily + industrial + BTR (Northgate Village NKC)
Chinquapin Trust Company (Hallmark Cards FO),Kansas City MO,SWFI 9 contacts (paywalled),Multiple,~$1.8B,Family office; real estate line item in allocation,https://www.swfinstitute.org/profile/5e39a573fcbe7e8ca72294b7,strong,Deep-pockets dynasty FO with real estate allocation; 1511 Baltimore Ave KC
Commerce Trust Family Office (Kemper),Kansas City + St. Louis MO,David W. Kemper / John Kemper,Chairman / Pres-CEO,$10B MFO (1906),Multi-family office; long-term asset allocation incl. real estate,https://altss.com/profile/commerce-trust-family-office,strong,Legacy MO family bank; gateway to Kemper network
Matter Family Office,St. Louis MO,General contact info@matterfamilyoffice.com / 314-862-5190,Services MFO,$10B AUM / 140 familes,Explicitly manages 'real estate businesses' across generations,https://www.matterfamilyoffice.com/,medium,Multifamily office (not single) - serves many families incl. RE
1248 Partners (1248 Holdings),Kansas City MO,via contact form,Family FO PE manager,$323M AUM (RIA),Invests direct co-invest fund in 'real estate' + operating businesses,https://1248partners.com/about/,medium,Real estate is one sleeve but PE-weighted
Hermann Companies / Hermann Capital Management,St. Louis MO,Robert Hermann Jr.,CEO,Family-held investment firm; Busch lineage,Real estate portfolio: Highland Partners (multi-market residential) Grant's Farm BRDG Park Flyover REIT,https://www.hermcap.com/portfolio,medium,Direct RE + REIT exposure; Busch/Hermann dynasty
Alexander Kemper,Kansas City + Lee's Summit MO,'Alexander Kemper' (individual),Individual RE investor,Personal (small),Active RE investor via FLOCKA LLC; LEE'S SUMMIT property ownership; lender UMB Bank,https://elementix.com/investors/mo/alexander-kemper,medium,RELEVANT: holds Lee's Summit property (27015 E Oak View Dr); local investor
Lewis & Clark Capital,St. Louis MO,Tim Spihlman / Meg Lane / Ben Hillman,Managing Director / CFO / Operating Partner,Operator-investor FO (25 yrs / 100+ deals),PRIVATE EQUITY only - NO real estate signal,https://lewisandclarkcapital.com/,border,PE-only; include only if casting wide net
Argos Family Office,Missouri (multi),Team page,Multi-family office,Est. 2008,No explicit real estate signal found,https://argosfamilyoffice.com/,border,Service-oriented MFO; RE allocation unconfirmed
Kompass Kapital,Kansas City MO,Alok Srivastava (Managing Partner) / Sarah Schiltz (Partner & CFO),Managing Partner / CFO,~$1B AUM SFO,Privately-held single-family office w/ partner-flexible capital; LEED office; NO direct real estate signal (aviation logistics IT broadband),https://kompasskapital.com/,weak,Opportunistic SFO open to co-invest; RE not current focus - diversification play only
The Cordish Companies (Cordish Family Office),Baltimore MD — Missouri-ACTIVE (KC),Cordish family (4th-gen),Family office / developer,Est. 1910,Family office; 7 mixed-use investments; MOST ACTIVE INVESTMENT STATE = MISSOURI; KC Power & Light District + mixed-use,https://www.fintrx.com/blog/5-family-offices-investing-in-mixed-use-properties,strong-moactive,Best-fit for Evermont: active mixed-use/multifamily in KC; NOT MO-domiciled (HQ Baltimore) - label as Missouri-active
Prairie Capital (multi-FO / RIA),Kansas City MO,Brian Kaufman / Curtis Krizek (co-founders),Managing Director,$10B AUS / 230 families,"Multi-family office serving UHNW/FO clients; gateway to 230 regional families - referral channel, NOT itself an allocator",https://prairiecapital.com/about-us/,referral-channel,Referral gateway to KC/regional family capital; not a direct RE allocator target
